2023-07-16 18:44:41, DVD, 3.33
2023-07-16 18:54:04, Game, 1.02
2023-07-16 19:10:39, DVD, 1.46
2023-07-16 19:23:33, Game, 3.77
2023-07-16 19:28:30, DVD, 4.47
2023-07-16 19:33:50, Book, 7.42
2023-07-16 19:46:43, Book, 16.83
2023-07-16 19:49:45, Book, 2.18
2023-07-16 19:57:21, Game, 4.31
2023-07-16 20:07:39, Game, 6.15
2023-07-16 20:08:41, Game, 1.10
2023-07-16 20:25:19, Game, sixty-seven cents
2023-07-16 20:31:15, Book, 8.42
2023-07-16 20:36:28, DVD, 4.54
2023-07-16 20:46:12, Game, 5.59
2023-07-16 21:04:49, DVD, 0.67
2023-07-16 21:10:10, Game, 6.97
2023-07-16 21:29:51, Book, 15.72
2023-07-16 21:45:09, Book, 11.77
2023-07-16 22:04:45, Game, 2.25
2023-07-16 22:11:57, DVD, 1.25
2023-07-16 22:14:49, DVD, 4.04s
2023-07-16 22:17:01, Game, 3.36
2023-07-16 22:29:23, Game, 10.00
2023-07-16 22:35:51, DVD, 4.56
2023-07-16 22:49:01, Book, 13.44
2023-07-16 22:51:59, Game, 9.67
2023-07-16 23:00:24, Game, 7.40
2023-07-16 23:05:54, Game, 1.30
2023-07-16 23:20:06, Game, 2.33
2023-07-16 23:22:48, DVD, 0.65
2023-07-16 23:41:38, DVD, 4.92
2023-07-16 23:58:21, Book, 10.16
2023-07-17 00:12:57, Game, 6.63
2023-07-17 00:18:12, Game, 3.70
2023-07-17 00:31:56, Book, 4 dollars
2023-07-17 00:35:23, Book, 9.42
2023-07-17 00:41:57, Game, 3.12
2023-07-17 01:02:52, Book, 12.44
2023-07-17 01:22:59, DVD, 1.91
